,id,date,zipcode,condition,price,median_price,buy
0,7567600045,2014-08-27,98178,regular,825000.0,279000.0,Yes
1,8069000075,2014-12-29,98178,regular,790000.0,279000.0,Yes
2,8073000550,2015-04-15,98178,regular,1700000.0,279000.0,Yes
3,8073000495,2014-10-10,98178,regular,700000.0,279000.0,Yes
4,623059016,2014-07-17,98178,regular,1100000.0,279000.0,Yes
5,7567600030,2015-01-27,98178,regular,750000.0,279000.0,Yes
6,8073000585,2014-07-15,98178,regular,840500.0,279000.0,Yes
7,8073000491,2014-12-11,98178,regular,700000.0,279000.0,Yes
8,8073000480,2014-07-22,98178,regular,869000.0,279000.0,Yes
9,7352200100,2015-02-24,98125,regular,1360000.0,425000.0,Yes
10,7352200025,2014-10-13,98125,regular,1190000.0,425000.0,Yes
11,2726049034,2014-11-10,98125,regular,2000000.0,425000.0,Yes
12,7351200050,2014-12-18,98125,regular,1335000.0,425000.0,Yes
13,7352200450,2015-01-15,98125,regular,2050000.0,425000.0,Yes
14,1455100355,2014-07-08,98125,regular,1675000.0,425000.0,Yes
15,7351200295,2015-01-14,98125,regular,1150000.0,425000.0,Yes
16,7403200050,2014-11-13,98028,regular,1600000.0,442500.0,Yes
17,7936500190,2014-10-21,98136,regular,1339000.0,489950.0,Yes
18,5154700060,2014-10-15,98136,regular,1662000.0,489950.0,Yes
19,7936500172,2014-05-28,98136,regular,1175000.0,489950.0,Yes
20,7936500109,2014-07-25,98136,good,2230000.0,489950.0,Yes
21,2025069065,2014-09-29,98074,regular,2400000.0,645000.0,Yes
22,3225069065,2014-06-24,98074,regular,3075000.0,645000.0,Yes
23,1925069121,2015-03-30,98074,regular,960000.0,645000.0,Yes
24,3225069241,2015-04-22,98074,regular,2000000.0,645000.0,Yes
25,777100005,2014-11-22,98074,good,1650000.0,645000.0,Yes
26,2025069140,2015-03-17,98074,regular,1898000.0,645000.0,Yes
27,7203600040,2014-07-25,98198,regular,625000.0,265000.0,Yes
28,3222049055,2015-01-16,98198,regular,650000.0,265000.0,Yes
