,id,date,zipcode,seasonality,buy_price,median_price,sale_price,gain
0,7129300520,2014-10-13,98178,Fall,221900.0,284000.0,288470.0,66570.0
1,6414100192,2014-12-09,98125,Fall,538000.0,435500.0,591800.0,53800.0
2,5631500400,2015-02-25,98028,Winter,180000.0,443250.0,234000.0,54000.0
3,2487200875,2014-12-09,98136,Fall,604000.0,469300.0,664400.0,60400.0
4,1954400510,2015-02-18,98074,Winter,510000.0,630400.0,663000.0,153000.0
5,7237550310,2014-05-12,98053,Spring,1225000.0,666000.0,1347500.0,122500.0
6,1321400060,2014-06-27,98003,Summer,257500.0,260875.0,334750.0,77250.0
7,2008000270,2015-01-15,98198,Winter,291850.0,275000.0,321035.0,29185.0
8,2414600126,2015-04-15,98146,Spring,229500.0,339875.0,298350.0,68850.0
9,3793500160,2015-03-12,98038,Winter,323000.0,336600.0,419900.0,96900.0
10,1736800520,2015-04-03,98007,Spring,662500.0,585000.0,728750.0000000001,66250.00000000012
11,9212900260,2014-05-27,98115,Spring,468000.0,584025.0,608400.0,140400.0
12,114101516,2014-05-28,98028,Spring,310000.0,449225.0,403000.0,93000.0
13,6054650070,2014-10-07,98074,Fall,400000.0,637250.0,520000.0,120000.0
14,1175000570,2015-03-12,98107,Winter,530000.0,583500.0,689000.0,159000.0
15,9297300055,2015-01-24,98126,Winter,650000.0,435000.0,715000.0,65000.0
16,1875500060,2014-07-31,98019,Summer,395000.0,400000.0,513500.0,118500.0
17,6865200140,2014-05-29,98103,Spring,485000.0,550000.0,630500.0,145500.0
18,16000397,2014-12-05,98002,Fall,189000.0,236500.0,245700.0,56700.0
19,7983200060,2015-04-24,98003,Spring,230000.0,280000.0,299000.0,69000.0
20,6300500875,2014-05-14,98133,Spring,385000.0,400000.0,500500.0,115500.0
21,2524049179,2014-08-26,98040,Summer,2000000.0,940000.0,2200000.0,200000.0
22,7137970340,2014-07-03,98092,Summer,285000.0,303975.0,370500.0,85500.0
23,8091400200,2014-05-16,98030,Spring,252700.0,287000.0,328510.0,75810.0
24,3814700200,2014-11-20,98030,Fall,329000.0,280000.0,361900.00000000006,32900.00000000006
25,1202000200,2014-11-03,98002,Fall,233000.0,236500.0,302900.0,69900.0
26,1794500383,2014-06-26,98119,Summer,937000.0,680707.5,1030700.0000000001,93700.00000000012
27,3303700376,2014-12-01,98112,Fall,667000.0,841250.0,867100.0,200100.0
28,5101402488,2014-06-24,98115,Summer,438000.0,550000.0,569400.0,131400.0
29,1873100390,2015-03-02,98052,Winter,719000.0,637000.0,790900.0000000001,71900.00000000012
30,8562750320,2014-11-10,98027,Fall,580500.0,545000.0,638550.0,58050.0
31,2426039314,2014-12-01,98133,Fall,280000.0,352475.0,364000.0,84000.0
32,461000390,2014-06-24,98117,Summer,687500.0,539805.0,756250.0000000001,68750.00000000012
33,7589200193,2014-11-10,98117,Fall,535000.0,535000.0,695500.0,160500.0
34,7955080270,2014-12-03,98058,Fall,322500.0,322250.0,354750.0,32250.0
35,9547205180,2014-06-13,98115,Spring,696000.0,584025.0,765600.0000000001,69600.00000000012
36,9435300030,2014-05-28,98052,Spring,550000.0,620000.0,715000.0,165000.0
37,2768000400,2014-12-30,98107,Winter,640000.0,583500.0,704000.0,64000.0
38,7895500070,2015-02-13,98001,Winter,240000.0,260000.0,312000.0,72000.0
39,2078500320,2014-06-20,98056,Spring,605000.0,390000.0,665500.0,60500.0
40,5547700270,2014-07-15,98074,Summer,625000.0,635000.0,812500.0,187500.0
41,7766200013,2014-08-11,98166,Summer,775000.0,402000.0,852500.0000000001,77500.00000000012
42,7203220400,2014-07-07,98053,Summer,861990.0,635000.0,948189.0000000001,86199.00000000012
43,9270200160,2014-10-28,98119,Fall,685000.0,775000.0,890500.0,205500.0
44,1432701230,2014-07-29,98058,Summer,309000.0,337500.0,401700.0,92700.0
45,8035350320,2014-07-18,98019,Summer,488000.0,400000.0,536800.0,48800.0
46,8945200830,2015-03-25,98023,Spring,210490.0,274750.0,273637.0,63147.0
47,4178300310,2014-07-16,98007,Summer,785000.0,550000.0,863500.0000000001,78500.00000000012
48,9215400105,2015-04-28,98115,Spring,450000.0,584025.0,585000.0,135000.0
49,822039084,2015-03-11,98070,Winter,1350000.0,519000.0,1485000.0000000002,135000.00000000023
50,5245600105,2014-09-16,98148,Summer,228000.0,280000.0,296400.0,68400.0
51,7231300125,2015-02-17,98056,Winter,345000.0,375000.0,448500.0,103500.0
52,7518505990,2014-12-31,98117,Winter,600000.0,550000.0,660000.0,60000.0
53,3626039271,2015-02-05,98117,Winter,585000.0,550000.0,643500.0,58500.0
54,4217401195,2015-03-03,98105,Winter,920000.0,665000.0,1012000.0000000001,92000.00000000012
55,9822700295,2014-05-12,98105,Spring,885000.0,725000.0,973500.0000000001,88500.00000000012
56,9478500640,2014-08-19,98042,Summer,292500.0,299500.0,380250.0,87750.0
57,2799800710,2015-04-07,98042,Spring,301000.0,303250.0,391300.0,90300.0
58,7922800400,2014-08-27,98008,Summer,951000.0,563750.0,1046100.0000000001,95100.00000000012
59,8079040320,2015-02-23,98059,Winter,430000.0,425000.0,473000.00000000006,43000.00000000006
60,1516000055,2014-12-10,98166,Fall,650000.0,319725.0,715000.0,65000.0
61,9558200045,2014-08-28,98148,Summer,289000.0,280000.0,317900.0,28900.0
62,5072410070,2014-10-21,98166,Fall,505000.0,319725.0,555500.0,50500.0
63,9528102996,2014-12-07,98115,Fall,549000.0,557500.0,713700.0,164700.0
64,1189001180,2014-06-03,98122,Spring,425000.0,606500.0,552500.0,127500.0
65,3253500160,2014-11-20,98144,Fall,317625.0,427450.0,412912.5,95287.5
66,3394100030,2014-09-09,98004,Summer,975000.0,1014250.0,1267500.0,292500.0
67,3717000160,2014-10-09,98001,Fall,287000.0,250000.0,315700.0,28700.0
